country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,year,month,day,hour
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",2025-11-27 09:00:00,25.262326,82.995408,NH3,1.0,5.0,2.0,2025,11,27,9
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",2025-11-27 09:00:00,22.7605581,88.3617589,NO2,16.0,56.0,30.0,2025,11,27,9
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",2025-11-27 09:00:00,22.7605581,88.3617589,CO,52.0,90.0,64.0,2025,11,27,9
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",2025-11-27 09:00:00,23.567923,87.306843,PM10,83.0,169.0,130.0,2025,11,27,9
India,West_Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB",2025-11-27 09:00:00,23.508764,87.35444,NO2,16.0,41.0,25.0,2025,11,27,9
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB (Formerly known as Sidhu Kanhu Indoor Stadium)",2025-11-27 09:00:00,23.549395,87.300496,PM2.5,64.0,155.0,100.0,2025,11,27,9
India,West_Bengal,Howrah,"Ghusuri, Howrah - WBPCB",2025-11-27 09:00:00,22.611968,88.347422,PM2.5,98.0,239.0,157.0,2025,11,27,9
India,West_Bengal,Howrah,"Ghusuri, Howrah - WBPCB",2025-11-27 09:00:00,22.611968,88.347422,SO2,4.0,14.0,7.0,2025,11,27,9
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2025-11-27 09:00:00,22.5687319,88.2797276,PM2.5,227.0,328.0,297.0,2025,11,27,9
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2025-11-27 09:00:00,22.5687319,88.2797276,NH3,2.0,2.0,2.0,2025,11,27,9
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB",2025-11-27 09:00:00,22.5687319,88.2797276,SO2,1.0,17.0,9.0,2025,11,27,9
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",2025-11-27 09:00:00,22.58157048,88.41002457,CO,63.0,114.0,96.0,2025,11,27,9
India,West_Bengal,Kolkata,"Fort William, Kolkata - WBPCB",2025-11-27 09:00:00,22.55664,88.342674,PM2.5,169.0,303.0,239.0,2025,11,27,9
India,Uttar_Pradesh,Noida,"Sector - 62, Noida - IMD",2025-11-27 09:00:00,28.6245479,77.3577104,OZONE,23.0,144.0,70.0,2025,11,27,9
India,Uttar_Pradesh,Noida,"Sector-1, Noida - UPPCB",2025-11-27 09:00:00,28.5898,77.3101,NH3,14.0,38.0,22.0,2025,11,27,9
India,Uttar_Pradesh,Noida,"Sector-1, Noida - UPPCB",2025-11-27 09:00:00,28.5898,77.3101,CO,16.0,158.0,129.0,2025,11,27,9
India,Uttar_Pradesh,Noida,"Sector-1, Noida - UPPCB",2025-11-27 09:00:00,28.5898,77.3101,OZONE,7.0,165.0,10.0,2025,11,27,9
India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB",2025-11-27 09:00:00,25.425602,81.917152,CO,36.0,105.0,79.0,2025,11,27,9
India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB",2025-11-27 09:00:00,25.425602,81.917152,OZONE,14.0,63.0,15.0,2025,11,27,9
India,Uttarakhand,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB",2025-11-27 09:00:00,30.075911,78.2859547,NO2,18.0,31.0,21.0,2025,11,27,9
India,West_Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",2025-11-27 09:00:00,23.685297,86.945968,NO2,14.0,27.0,22.0,2025,11,27,9
India,West_Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB",2025-11-27 09:00:00,23.618183,87.105718,NO2,8.0,61.0,29.0,2025,11,27,9
India,West_Bengal,Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB",2025-11-27 09:00:00,23.616515,87.119133,PM2.5,61.0,232.0,130.0,2025,11,27,9
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB",2025-11-27 09:00:00,22.629801,88.352017,PM10,127.0,234.0,170.0,2025,11,27,9
India,West_Bengal,Howrah,"Botanical Garden, Howrah - WBPCB",2025-11-27 09:00:00,22.554954,88.292568,NO2,3.0,62.0,17.0,2025,11,27,9
India,West_Bengal,Howrah,"Botanical Garden, Howrah - WBPCB",2025-11-27 09:00:00,22.554954,88.292568,SO2,9.0,17.0,11.0,2025,11,27,9
India,West_Bengal,Howrah,"Botanical Garden, Howrah - WBPCB",2025-11-27 09:00:00,22.554954,88.292568,CO,28.0,72.0,53.0,2025,11,27,9
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB",2025-11-27 09:00:00,22.6025571,88.3105664,SO2,3.0,49.0,18.0,2025,11,27,9
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB",2025-11-27 09:00:00,22.6025571,88.3105664,OZONE,13.0,166.0,14.0,2025,11,27,9
India,West_Bengal,Kolkata,"Fort William, Kolkata - WBPCB",2025-11-27 09:00:00,22.55664,88.342674,OZONE,20.0,115.0,34.0,2025,11,27,9
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",2025-11-27 09:00:00,22.49929,88.36917,PM10,108.0,274.0,186.0,2025,11,27,9
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",2025-11-27 09:00:00,22.51106,88.35142,NO2,61.0,265.0,169.0,2025,11,27,9
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",2025-11-27 09:00:00,22.51106,88.35142,CO,44.0,114.0,72.0,2025,11,27,9
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",2025-11-27 09:00:00,22.51106,88.35142,OZONE,2.0,130.0,4.0,2025,11,27,9
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",2025-11-27 09:00:00,22.5448082,88.3403691,NH3,4.0,5.0,4.0,2025,11,27,9
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",2025-11-27 09:00:00,26.6879226,88.4152495,NH3,11.0,11.0,11.0,2025,11,27,9
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",2025-11-27 09:00:00,11.654054,92.734055,NH3,36.29704855601396,102.24436686766106,62.67153284671533,2025,11,27,9
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",2025-11-27 09:00:00,11.654054,92.734055,SO2,36.29704855601396,102.24436686766106,62.67153284671533,2025,11,27,9
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",2025-11-27 09:00:00,11.654054,92.734055,CO,10.0,30.0,21.0,2025,11,27,9
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2025-11-27 09:00:00,16.5150833,80.5181667,NH3,2.0,4.0,4.0,2025,11,27,9
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2025-11-27 09:00:00,16.5150833,80.5181667,CO,24.0,43.0,33.0,2025,11,27,9
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",2025-11-27 09:00:00,14.675886,77.593027,SO2,13.0,19.0,16.0,2025,11,27,9
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",2025-11-27 09:00:00,13.20488,79.097889,PM2.5,26.0,305.0,172.0,2025,11,27,9
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",2025-11-27 09:00:00,13.20488,79.097889,SO2,6.0,34.0,16.0,2025,11,27,9
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",2025-11-27 09:00:00,25.204762,85.51496,CO,28.0,104.0,39.0,2025,11,27,9
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",2025-11-27 09:00:00,25.204762,85.51496,OZONE,2.0,10.0,4.0,2025,11,27,9
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",2025-11-27 09:00:00,25.56752,83.966379,PM2.5,50.0,227.0,157.0,2025,11,27,9
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",2025-11-27 09:00:00,25.56752,83.966379,NO2,9.0,10.0,10.0,2025,11,27,9
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",2025-11-27 09:00:00,25.56752,83.966379,OZONE,2.0,148.0,14.0,2025,11,27,9
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",2025-11-27 09:00:00,25.7808257,84.7446768,CO,6.0,56.0,11.0,2025,11,27,9
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",2025-11-27 09:00:00,24.792403,84.992416,PM2.5,36.29704855601396,102.24436686766106,62.67153284671533,2025,11,27,9
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",2025-11-27 09:00:00,24.792403,84.992416,OZONE,36.29704855601396,102.24436686766106,62.67153284671533,2025,11,27,9
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2025-11-27 09:00:00,16.9872867,81.7363176,NH3,3.0,5.0,4.0,2025,11,27,9
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",2025-11-27 09:00:00,13.67,79.35,NO2,11.0,21.0,15.0,2025,11,27,9
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",2025-11-27 09:00:00,13.67,79.35,OZONE,10.0,342.0,209.0,2025,11,27,9
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2025-11-27 09:00:00,13.615387,79.40923,PM2.5,32.0,35.0,33.0,2025,11,27,9
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2025-11-27 09:00:00,13.615387,79.40923,NH3,3.0,4.0,4.0,2025,11,27,9
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2025-11-27 09:00:00,13.615387,79.40923,OZONE,16.0,17.0,17.0,2025,11,27,9
India,Assam,Guwahati,"IITG, Guwahati - PCBA",2025-11-27 09:00:00,26.2028636,91.70046436,CO,7.0,26.0,15.0,2025,11,27,9
India,Assam,Guwahati,"IITG, Guwahati - PCBA",2025-11-27 09:00:00,26.2028636,91.70046436,OZONE,1.0,50.0,1.0,2025,11,27,9
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2025-11-27 09:00:00,26.10887,91.589544,SO2,4.0,30.0,13.0,2025,11,27,9
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2025-11-27 09:00:00,26.1875,91.744194,SO2,27.0,49.0,37.0,2025,11,27,9
